Jalur masuk Laut,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Total_Laut,Jalur masuk Darat,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Total_Darat,Jalur masuk Udara,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Total_Udara
Batam,77836.0,111758.0,104191.0,78674.0,99404.0,130714.0,100295.0,119550.0,-,-,-,-,,Jayapura,8254.0,6903.0,6515.0,7129.0,7305.0,8577.0,8544.0,9481.0,-,-,-,-,-,Ngurah Rai,414937,454398,463804,502870,544492,520792,625569,613540,-,-,-,-,-
Tanjung Uban,11442.0,18432.0,20741.0,14202.0,14974.0,22829.0,16210.0,20655.0,-,-,-,-,,Atambua,8426.0,7423.0,8958.0,9209.0,9670.0,11141.0,11847.0,10029.0,-,-,-,-,-,Soekarno-Hatta,157979,187641,160917,157409,201574,225985,271680,272849,-,-,-,-,-
Tanjung Pinang,2803.0,5921.0,4868.0,2614.0,3904.0,6135.0,3573.0,5948.0,-,-,-,-,,Entikong,2366.0,4380.0,2540.0,4042.0,3737.0,2819.0,3204.0,3191.0,-,-,-,-,-,Juanda,17196,28026,18543,29043,31222,25015,34446,38587,-,-,-,-,-
Tanjung Balai Karimun,4050.0,7747.0,5039.0,6899.0,5292.0,6436.0,5476.0,6555.0,-,-,-,-,,Aruk,1733.0,4433.0,2400.0,3521.0,2225.0,2878.0,2926.0,2819.0,-,-,-,-,-,Kualanamu,14751,24628,15068,25178,20469,16949,22693,21930,-,-,-,-,-
Tanjung Benoa,853.0,879.0,5423.0,324.0,109.0,106.0,95.0,3100.0,-,-,-,-,,Nanga Badau,687.0,950.0,965.0,486.0,833.0,1028.0,940.0,892.0,-,-,-,-,-,Husein Sastranegara,0,0,0,0,0,0,22,0,-,-,-,-,-
Tanjung Mas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,,Pintu Darat Lainnya,76247.0,63270.0,86031.0,80770.0,73289.0,88679.0,76279.0,77229.0,-,-,-,-,-,Adi Sucipto,6879,9813,6258,8790,11323,8134,11120,10136,-,-,-,-,-
Pintu Laut Lainnya,101088.0,94981.0,111751.0,109003.0,89035.0,94945.0,86784.0,92950.0,-,-,-,-,,total,97713.0,87359.0,107409.0,105157.0,97059.0,115122.0,103740.0,103641.0,0,0,0,0,0,Bandara Int. Lombok,4958,7748,5208,6536,7742,6893,8652,8122,-,-,-,-,-
total,198072.0,239718.0,252013.0,211716.0,212718.0,261165.0,212433.0,248758.0,0,0,0,0,0.0,,,,,,,,,,,,,,,Sam Ratulangi,3384,2615,4045,3451,3427,3424,4743,4436,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minangkabau,4689,8229,2976,7166,7107,4561,5936,6685,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sultan Syarif Kasim II,2126,3709,2081,3996,2849,4637,2516,3940,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sultan Iskandar Muda,2379,4421,1582,2533,2050,2080,2489,3042,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahmad Yani,0,2,0,0,0,0,0,0,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supadio,0,0,0,0,0,0,0,0,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hasanuddin,742,1408,579,1402,1066,1092,1532,1427,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sultan Badaruddin II,0,2,2,0,5,0,15,11,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pintu Udara Lainnya,1941,2432,1376,1711,2396,2092,3170,2842,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,total ,631961,735072,682439,750085,835722,821654,994583,987547,0,0,0,0,0
